number,value,params_activation_f,params_feats,params_kernel_size,params_n_resblocks,state
0,0.7618383989334107,prelu,54,3,8,COMPLETE
1,13788858.888,prelu,104,5,6,COMPLETE
2,0.8957918920516967,prelu,82,3,1,COMPLETE
3,96.23723742675782,relu,80,5,5,COMPLETE
4,1.4222065439224243,relu,109,3,4,COMPLETE
5,0.5271510174274444,relu,96,3,8,COMPLETE
6,69.29884832763672,prelu,96,5,3,COMPLETE
7,5.335603193283081,,110,3,6,COMPLETE
8,48.644648803710936,prelu,102,5,3,COMPLETE
9,1.1482419900894165,relu,123,3,1,COMPLETE
10,0.16163335180282593,,47,3,8,COMPLETE
11,0.5347952723503113,,43,3,8,COMPLETE
12,0.4204297993183136,,61,3,7,COMPLETE
13,0.201264613032341,,57,3,7,COMPLETE
14,1.0520741438865662,,32,3,7,COMPLETE
15,33.03633390378952,,64,3,6,COMPLETE
16,0.5897674233913421,,48,3,7,COMPLETE
17,4.167721684455872,,67,5,5,COMPLETE
18,1.2174497056007385,,32,3,7,COMPLETE
19,0.19861055767536162,,74,3,8,COMPLETE
